87,5,2,1,350000,164,./image/0503.png,3
86,4,2,1,350000,134,./image/0507.png,3
85,4,2,1,180000,114,./image/0509.png,3
81,3,2,1,270000,84,./image/0510.png,3
86,4,2,1,400000,134,./image/0511.png,3
81,3,2,1,270000,84,./image/0512.png,3
85,3,2,1,180000,84,./image/0515.png,5
84,3,1,1,194000,77,./image/0519.png,1
84,4,2,1,200000,101,./image/0520.png,3
74,2,1,0,70000,41,./image/0522.png,1
82,3,2,1,180000,84,./image/0524.png,2
73,2,1,0,130000,49,./image/0525.png,1
86,4,2,1,170000,114,./image/0526.png,3
86,4,2,1,350000,134,./image/0527.png,3
86,4,2,1,200000,101,./image/0528.png,3
78,3,2,2,250000,84,./image/0531.png,3
85,4,2,1,200000,114,./image/0532.png,4
78,3,2,1,250000,84,./image/0533.png,3
81,3,2,1,270000,84,./image/0535.png,3
78,3,2,1,230000,84,./image/0536.png,3
87,4,2,1,123000,137,./image/0537.png,3
78,3,2,2,240000,84,./image/0541.png,3
85,3,2,1,190000,84,./image/0542.png,5
81,3,2,1,100000,84,./image/0543.png,3
83,3,2,1,22000,84,./image/0544.png,3
87,5,2,1,280000,164,./image/0545.png,2
78,3,2,2,250000,84,./image/0546.png,3
81,3,2,1,270000,84,./image/0548.png,3
81,3,2,1,270000,84,./image/0549.png,3
73,3,1,1,210000,59,./image/0550.png,3
87,5,2,1,280000,164,./image/0551.png,2
79,3,1,1,210000,70,./image/0553.png,3
83,3,2,1,22000,84,./image/0554.png,3
86,4,2,1,340000,134,./image/0556.png,3
85,3,2,1,210000,84,./image/0557.png,3
84,4,2,1,273000,118,./image/0559.png,3
78,3,2,2,240000,84,./image/0560.png,3
81,3,2,1,270000,84,./image/0561.png,3
83,3,2,1,260000,84,./image/0562.png,3
83,3,1,1,161796,71,./image/0563.png,2
81,3,1,0,90000,62,./image/0564.png,1
80,3,2,1,69342,84,./image/0565.png,4
81,3,2,1,270000,84,./image/0566.png,3
79,3,1,1,220000,70,./image/0567.png,3
71,3,1,0,80000,46,./image/0569.png,1
83,3,2,1,208894,84,./image/0570.png,3
84,3,2,1,89940,84,./image/0571.png,3
83,3,2,1,180000,84,./image/0572.png,3
72,2,1,0,106542,42,./image/0573.png,1
83,3,2,1,180000,84,./image/0574.png,7
72,2,1,0,50000,41,./image/0575.png,1
85,4,2,1,257701,101,./image/0576.png,3
86,3,2,1,190000,84,./image/0578.png,2
84,3,2,1,280000,92,./image/0579.png,2
83,3,2,1,208771,84,./image/0580.png,3
72,2,1,0,50000,41,./image/0581.png,1
85,4,2,1,300000,117,./image/0583.png,3
86,3,2,1,170000,84,./image/0584.png,2
80,3,1,1,161648,65,./image/0585.png,3
78,3,1,1,170000,59,./image/0586.png,3
85,4,2,1,250000,101,./image/0587.png,3
75,3,1,0,96000,59,./image/0589.png,1
85,4,2,1,310000,134,./image/0590.png,3
81,3,2,1,270000,84,./image/0591.png,3
85,4,2,1,300000,117,./image/0592.png,3
81,3,2,1,270000,84,./image/0594.png,3
79,3,1,1,130000,59,./image/0595.png,3
85,4,2,1,250000,101,./image/0596.png,3
80,3,2,1,270000,84,./image/0597.png,3
83,4,2,1,200000,101,./image/0599.png,3
85,4,2,1,250000,101,./image/0600.png,3
75,3,1,0,96000,59,./image/0601.png,1
81,3,2,1,270000,84,./image/0602.png,3
82,4,2,1,180000,100,./image/0603.png,3
85,4,2,1,310000,134,./image/0605.png,3
82,4,2,1,230000,100,./image/0606.png,3
81,3,2,1,270000,84,./image/0607.png,3
82,3,1,1,170000,75,./image/0609.png,3
86,3,2,1,170000,84,./image/0610.png,2
75,3,1,0,96000,59,./image/0611.png,1
83,3,2,1,166000,84,./image/0613.png,4
83,3,2,1,130000,84,./image/0614.png,3
81,3,2,1,270000,84,./image/0615.png,3
81,3,1,0,200000,62,./image/0616.png,1
81,3,2,1,270000,84,./image/0618.png,3
81,3,2,1,270000,84,./image/0619.png,3
85,4,2,1,210000,101,./image/0620.png,3
83,3,2,1,264127,84,./image/0622.png,3
72,2,1,0,80000,42,./image/0623.png,1
81,3,1,0,200000,62,./image/0625.png,1
